epoch,train_loss,valid_loss,foreground_acc,dice_multi,jaccard_coeff_multi
0,0.092188,0.112501,0.655114,0.768344,0.646200
1,0.085606,0.085238,0.821015,0.783448,0.664113
2,0.082553,0.068926,0.788452,0.800443,0.685172
3,0.082288,0.066756,0.707249,0.806341,0.691123
4,0.080601,0.077916,0.820404,0.791975,0.672372
5,0.079573,0.083918,0.842834,0.781415,0.657642
6,0.077640,0.066423,0.776611,0.813500,0.700309
7,0.076990,0.063398,0.760486,0.818739,0.708452
8,0.076229,0.061721,0.769508,0.821965,0.713203
9,0.074265,0.060911,0.771962,0.822851,0.714538
