epoch,train_loss,valid_loss,foreground_acc,dice_multi,jaccard_coeff_multi,
0,0.362746,0.216730,0.033023,0.320160,0.282078,
1,0.286238,0.194581,0.036386,0.325375,0.286988,
2,0.252782,0.180163,0.022068,0.317742,0.284091,
3,0.230263,0.163682,0.145911,0.390443,0.328603,
4,0.213890,0.150977,0.374325,0.467913,0.388594,
5,0.204486,0.151219,0.373746,0.467919,0.388352,
6,0.192337,0.124749,0.247531,0.462585,0.382419,
7,0.184969,0.136600,0.267394,0.445922,0.371401,
8,0.176474,0.141478,0.283271,0.482423,0.398828,
9,0.173401,0.119341,0.180538,0.467306,0.376622,
10,0.164877,0.112916,0.533998,0.655750,0.529072,
11,0.154756,0.110000,0.646195,0.618524,0.502889,
12,0.148621,0.111526,0.335178,0.560185,0.450955,
13,0.143473,0.098276,0.498592,0.605362,0.498748,
14,0.139143,0.102673,0.514101,0.680120,0.553505,
15,0.134001,0.126819,0.240405,0.552924,0.437488,
16,0.130255,0.102201,0.705383,0.693912,0.566024,
17,0.125796,0.097635,0.576118,0.689715,0.563776,
18,0.121409,0.086780,0.618716,0.704063,0.579808,
19,0.117720,0.087174,0.567366,0.669471,0.551244,
20,0.114164,0.085029,0.527228,0.678430,0.555461,
21,0.110733,0.104489,0.771876,0.695972,0.567827,
22,0.109391,0.082458,0.563859,0.703183,0.578987,
23,0.107174,0.082540,0.610666,0.700527,0.580137,
24,0.105837,0.084684,0.707076,0.690972,0.574956,
25,0.105799,0.083882,0.548049,0.702356,0.577390,
26,0.104024,0.081978,0.615543,0.687669,0.571635,
27,0.101793,0.083342,0.727373,0.735309,0.612169,
28,0.100724,0.079000,0.644213,0.712483,0.592956,
29,0.099460,0.082974,0.461883,0.678470,0.551229,
30,0.098895,0.083808,0.499660,0.682708,0.558042,
31,0.097130,0.077224,0.620353,0.735031,0.611899,
32,0.096031,0.076428,0.632433,0.738281,0.615418,
33,0.095737,0.075777,0.624829,0.721960,0.601600,
34,0.094537,0.084519,0.534944,0.714724,0.588398,
35,0.093821,0.074272,0.645048,0.733215,0.613214,
36,0.092207,0.084717,0.784713,0.737872,0.614347,
37,0.091334,0.077775,0.586305,0.733736,0.609279,
38,0.089963,0.074967,0.695919,0.737178,0.618514,
39,0.088982,0.076126,0.729110,0.747081,0.628005,
40,0.088504,0.074515,0.700217,0.748866,0.629388,
41,0.087101,0.073073,0.676479,0.739158,0.620182,
42,0.085395,0.074450,0.714023,0.747941,0.628593,
43,0.084202,0.074139,0.671770,0.744767,0.624291,
44,0.083386,0.073961,0.702377,0.747535,0.627865,
45,0.082810,0.074123,0.712064,0.748677,0.629179,
46,0.082460,0.073149,0.691098,0.745927,0.626315,
47,0.082146,0.073270,0.692935,0.746635,0.627055,
48,0.081899,0.073332,0.693002,0.746882,0.627260,
49,0.081992,0.073684,0.695441,0.746642,0.626980,
